snr_db,method,ber,ser,evm_rms,evm_db,channel_mse
0.0,LS+ZF,0.39622895408163267,0.8611785714285715,4.107996928902588,12.272602205023029,0.9962483159303666
0.0,LS+MMSE,0.3989655612244898,0.874594387755102,0.9448819779347183,-0.4924486876494577,0.9962483159303666
0.0,CNN+ZF,0.3579572704081633,0.8127321428571429,7.553591026610457,17.56306934323089,0.3044873189926147
0.0,CNN+MMSE,0.3610873724489796,0.8402831632653062,0.8399694110182246,-1.514730585140481,0.3044873189926147
5.0,LS+ZF,0.3163188775510204,0.7709107142857143,2.773662817833173,8.861073292965184,0.5119076723456383
5.0,LS+MMSE,0.31547385204081635,0.7745969387755102,0.8510266691706481,-1.4011365987273514,0.5119076723456383
5.0,CNN+ZF,0.2718463010204082,0.6959719387755102,6.006259080130261,15.572081231399089,0.21236377568542958
5.0,CNN+MMSE,0.27143367346938774,0.7050892857142858,0.7253911250754788,-2.7885552434967193,0.21236377568542958
10.0,LS+ZF,0.24954464285714287,0.660079081632653,2.731619141550568,8.728402946651908,0.36713031166791915
10.0,LS+MMSE,0.24631186224489796,0.6545918367346939,0.8399213303694181,-1.5152277879633615,0.36713031166791915
10.0,CNN+ZF,0.20427423469387754,0.5596581632653062,5.0404548462181715,14.049394571329579,0.1858957209661603
10.0,CNN+MMSE,0.20073788265306122,0.5541122448979592,0.6937383396036774,-3.176086069121214,0.1858957209661603
15.0,LS+ZF,0.2093577806122449,0.5711045918367347,1.8897692931241636,5.528175757127828,0.3173493733257055
15.0,LS+MMSE,0.2069655612244898,0.5663877551020409,0.907012572765484,-0.847733856486578,0.3173493733257055
15.0,CNN+ZF,0.16580994897959184,0.46272704081632654,5.120284163882986,14.185881279601642,0.17891052836179733
15.0,CNN+MMSE,0.16174936224489797,0.4565714285714286,0.7932284263191932,-2.0120346141870034,0.17891052836179733
20.0,LS+ZF,0.19627551020408163,0.5341964285714286,2.217198548836176,6.9160917134666775,0.30665006566792724
20.0,LS+MMSE,0.19513073979591836,0.5317244897959184,1.069746140275324,0.5856145638316782,0.30665006566792724
20.0,CNN+ZF,0.14874426020408163,0.4173775510204082,5.21412968176152,14.34363656799661,0.1732441126331687
20.0,CNN+MMSE,0.14669451530612246,0.4143112244897959,1.1005771280846368,0.8324096634179614,0.1732441126331687
25.0,LS+ZF,0.18766836734693879,0.5106096938775511,2.5796961562590264,8.23137113142794,0.2961130722910166
25.0,LS+MMSE,0.18718367346938775,0.5097780612244898,1.1761743595591005,1.4094341521727562,0.2961130722910166
25.0,CNN+ZF,0.14272002551020407,0.39894132653061226,4.8478176556090835,13.710925520804452,0.17172958859056234
25.0,CNN+MMSE,0.1418188775510204,0.3979260204081633,1.817905872205859,5.191427850107367,0.17172958859056234
30.0,LS+ZF,0.18193813775510204,0.4985,3.2084164497870544,10.125814686669832,0.29773511450737716
30.0,LS+MMSE,0.181796556122449,0.4982627551020408,1.2689476129649688,2.068873862384821,0.29773511450737716
30.0,CNN+ZF,0.1387219387755102,0.3904974489795918,5.28617761024973,14.462835017970361,0.17102621354907752
30.0,CNN+MMSE,0.13849808673469388,0.39026020408163264,2.8993721833752852,9.246079359264609,0.17102621354907752
