snr_db,method,channel_mse
0.0,CNN estimator,0.3044873189926147
0.0,LS interpolation,0.9962483159303666
5.0,CNN estimator,0.21236377568542958
5.0,LS interpolation,0.5119076723456383
10.0,CNN estimator,0.1858957209661603
10.0,LS interpolation,0.36713031166791915
15.0,CNN estimator,0.17891052836179733
15.0,LS interpolation,0.3173493733257055
20.0,CNN estimator,0.1732441126331687
20.0,LS interpolation,0.30665006566792724
25.0,CNN estimator,0.17172958859056234
25.0,LS interpolation,0.2961130722910166
30.0,CNN estimator,0.17102621354907752
30.0,LS interpolation,0.29773511450737716
